Plot.id,Hexagon,Plot,Species,Live_status,DBH,Crown_class,Distance,Age.ca,Height,modelled.height2,Cruise_tree_class
H8P2,8,2,Bl: subalpine fir,Standing (Live),17,3 (50-75% healthy),NA,NA,NA,19.987975,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Down (Dead) (0-45%),22.2,1 (0-25% healthy),NA,NA,NA,21.41569948,3: Older Immature. Dead Potential
H8P2,8,2,Sx: spruce hybrid,Standing (Live),14.8,3 (50-75% healthy),NA,NA,NA,19.40472728,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),9.6,3 (50-75% healthy),NA,NA,NA,18.07528072,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),21.6,4 (75-100% healthy),NA,NA,NA,21.24743752,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),45.9,4 (75-100% healthy),NA,NA,NA,28.79748397,1: Older Immature
H8P2,8,2,Bl: subalpine fir,Down (Dead) (0-45%),31,1 (0-25% healthy),NA,NA,NA,23.989175,4: Dead useless
H8P2,8,2,Sx: spruce hybrid,Standing (Live),12.8,4 (75-100% healthy),NA,NA,NA,18.88522888,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),19,4 (75-100% healthy),NA,NA,NA,20.528927,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Down (Dead) (0-45%),20.5,1 (0-25% healthy),NA,NA,NA,20.94134525,3: Older Immature. Dead Potential
H8P2,8,2,Sx: spruce hybrid,Standing (Live),29.6,4 (75-100% healthy),NA,NA,NA,23.56652872,2: Older immature - Suspect
H8P2,8,2,Bl: subalpine fir,Down (Dead) (0-45%),26.9,1 (0-25% healthy),NA,NA,NA,22.76556157,3: Older Immature. Dead Potential
H8P2,8,2,Sx: spruce hybrid,Standing (Live),10.1,4 (75-100% healthy),NA,NA,NA,18.20011117,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Snag (Dead) (45-90%) ,13,1 (0-25% healthy),NA,NA,NA,18.936719,9: Younger immature - Dead potential
H8P2,8,2,Bl: subalpine fir,Standing (Live),24.8,4 (75-100% healthy),NA,NA,NA,22.15545928,8: Younger immature
H8P2,8,2,Sx: spruce hybrid,Standing (Live),20.7,4 (75-100% healthy),NA,NA,NA,20.99676853,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),20.1,1 (0-25% healthy),NA,NA,NA,20.83080517,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),9.2,4 (75-100% healthy),NA,NA,NA,17.97587608,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Standing (Live),13.2,2 (25-50% healthy),NA,NA,NA,18.98831128,8: Younger immature
H8P2,8,2,Bl: subalpine fir,Snag (Dead) (45-90%) ,17,1 (0-25% healthy),NA,NA,NA,19.987975,9: Younger immature - Dead potential
